entry_time,exit_time,signal,entry_price,exit_price,pnl_pips,confidence
2025-11-12 19:30:00,2025-11-13 02:45:00,BUY,203.072,202.972,-10,0.5247041207320973
2025-11-12 21:45:00,2025-11-13 02:00:00,BUY,203.117,203.017,-10,0.6693326801182341
2025-11-13 01:00:00,2025-11-13 07:30:00,SELL,203.262,203.362,-10,0.546671896346926
2025-11-13 02:45:00,2025-11-13 07:30:00,BUY,202.976,203.376,40,0.6827721604258157
2025-11-13 07:15:00,2025-11-13 08:30:00,BUY,203.218,203.118,-10,0.6512450845419689
2025-11-13 09:30:00,2025-11-13 11:00:00,BUY,203.15,203.55,40,0.6372439312777952
2025-11-13 15:45:00,2025-11-13 16:45:00,BUY,203.506,203.906,40,0.6516738545227223
2025-11-13 16:30:00,2025-11-13 16:45:00,SELL,203.7,203.79999999999998,-10,0.4032546836607371
2025-11-13 17:00:00,2025-11-13 22:45:00,SELL,203.846,203.446,40,0.5761025359602735
2025-11-13 18:00:00,2025-11-13 22:45:00,SELL,203.916,203.516,40,0.40007426725971584
2025-11-13 20:30:00,2025-11-13 22:45:00,SELL,203.79,203.39,40,0.5152422178657613
2025-11-13 21:00:00,2025-11-13 22:45:00,SELL,203.826,203.426,40,0.40005296041168686
2025-11-13 22:00:00,2025-11-13 22:45:00,SELL,203.828,203.428,40,0.5221011933879001
2025-11-14 05:00:00,2025-11-14 07:30:00,BUY,202.958,203.358,40,0.6747080955983702
2025-11-14 08:15:00,2025-11-14 08:30:00,BUY,202.832,203.232,40,0.5726812310171137
2025-11-14 09:00:00,2025-11-14 11:00:00,SELL,203.563,203.16299999999998,40,0.4221193749178001
2025-11-14 09:45:00,2025-11-14 11:00:00,SELL,203.486,203.08599999999998,40,0.4026215750872237
2025-11-14 10:00:00,2025-11-14 11:00:00,SELL,203.527,203.12699999999998,40,0.4088781286393569
2025-11-14 10:15:00,2025-11-14 12:15:00,SELL,203.358,202.958,40,0.4065941604098349
2025-11-14 13:30:00,2025-11-14 13:45:00,BUY,202.412,202.812,40,0.6372371093575535
2025-11-14 15:30:00,2025-11-14 16:00:00,BUY,202.755,203.155,40,0.49153510185890203
2025-11-14 21:45:00,2025-11-17 00:15:00,SELL,203.562,203.162,40,0.5169311232851479
2025-11-17 02:00:00,2025-11-17 03:00:00,SELL,203.417,203.517,-10,0.40886960902434544
2025-11-17 03:00:00,2025-11-17 07:00:00,SELL,203.443,203.543,-10,0.5261656970959845
2025-11-17 04:30:00,2025-11-17 07:15:00,BUY,203.363,203.763,40,0.6695899525784068
2025-11-17 09:00:00,2025-11-17 12:00:00,BUY,203.655,204.055,40,0.6606019911618364
2025-11-17 10:45:00,2025-11-17 12:15:00,BUY,203.675,204.07500000000002,40,0.6651946052765464
2025-11-17 14:30:00,2025-11-17 15:15:00,BUY,204.031,204.431,40,0.6694148490757211
2025-11-17 15:15:00,2025-11-17 19:30:00,SELL,204.426,204.02599999999998,40,0.40168922045366073
2025-11-17 15:45:00,2025-11-17 19:00:00,SELL,204.493,204.093,40,0.4055221757586886
2025-11-17 17:00:00,2025-11-17 19:30:00,SELL,204.454,204.054,40,0.5029858809871626
2025-11-17 19:30:00,2025-11-18 04:00:00,BUY,204.102,204.002,-10,0.5146131195114871
2025-11-18 00:00:00,2025-11-18 01:15:00,SELL,204.125,204.225,-10,0.4448147404878442
2025-11-18 04:15:00,2025-11-18 08:00:00,BUY,203.779,204.179,40,0.4398810787077446
2025-11-18 06:15:00,2025-11-18 08:00:00,SELL,204.067,204.167,-10,0.5154590509814391
2025-11-18 07:45:00,2025-11-18 08:30:00,BUY,203.82,204.22,40,0.6676777028195925
2025-11-18 11:00:00,2025-11-18 14:30:00,SELL,204.239,204.339,-10,0.5472175923945987
2025-11-18 13:30:00,2025-11-18 14:30:00,BUY,203.997,204.39700000000002,40,0.6559630130267355
2025-11-18 18:30:00,2025-11-19 00:45:00,SELL,204.663,204.263,40,0.7330001017447167
2025-11-18 23:45:00,2025-11-19 02:15:00,SELL,204.469,204.069,40,0.46228726516746677
2025-11-19 00:00:00,2025-11-19 00:45:00,BUY,204.376,204.276,-10,0.4054685148388739
2025-11-19 00:15:00,2025-11-19 00:45:00,BUY,204.326,204.226,-10,0.4033762925484091
2025-11-19 03:15:00,2025-11-19 06:45:00,BUY,204.053,204.453,40,0.6560432249120928
2025-11-19 05:30:00,2025-11-19 07:00:00,BUY,204.101,204.501,40,0.646416172956161
2025-11-19 08:45:00,2025-11-19 09:45:00,BUY,204.264,204.66400000000002,40,0.6710904195644092
2025-11-19 13:15:00,2025-11-19 14:45:00,BUY,204.862,205.262,40,0.6019783312892906
2025-11-19 15:00:00,2025-11-19 15:30:00,SELL,205.26,204.85999999999999,40,0.49408656962179587
2025-11-19 16:00:00,2025-11-19 21:30:00,BUY,204.725,205.125,40,0.5589634125994712
2025-11-19 19:30:00,2025-11-19 21:45:00,BUY,204.809,205.209,40,0.5504958936859407
2025-11-20 00:00:00,2025-11-20 01:30:00,BUY,204.84,205.24,40,0.6624279800175716
2025-11-20 03:45:00,2025-11-20 04:00:00,BUY,205.362,205.262,-10,0.4770371559304987
2025-11-20 04:15:00,2025-11-20 04:30:00,SELL,205.367,205.46699999999998,-10,0.40595570991536817
2025-11-20 04:30:00,2025-11-20 05:00:00,SELL,205.507,205.607,-10,0.4073993445493839
2025-11-20 04:45:00,2025-11-20 05:00:00,SELL,205.526,205.626,-10,0.4096998408986444
2025-11-20 05:00:00,2025-11-20 06:00:00,SELL,205.596,205.696,-10,0.4096684844910204
2025-11-20 05:15:00,2025-11-20 06:00:00,SELL,205.598,205.698,-10,0.404305893794366
