entry_time,exit_time,signal,entry_price,exit_price,pnl_pips,confidence
2025-10-30 23:30:00,2025-10-31 14:15:00,SELL,1.15691,1.15291,40,0.4474421025428362
2025-10-30 23:45:00,2025-10-31 13:45:00,SELL,1.15714,1.15314,40,0.402637422755015
2025-10-31 00:15:00,2025-10-31 13:30:00,SELL,1.15723,1.15323,40,0.4734081077707411
2025-10-31 00:30:00,2025-10-31 13:30:00,SELL,1.15739,1.15339,40,0.43355748973261166
2025-10-31 01:00:00,2025-10-31 13:30:00,SELL,1.15743,1.15343,40,0.42984295902883524
2025-10-31 04:30:00,2025-10-31 13:30:00,SELL,1.15727,1.15327,40,0.42868111889132376
2025-10-31 07:00:00,2025-10-31 13:30:00,BUY,1.15568,1.1546800000000002,-10,0.4738418181876849
2025-10-31 09:45:00,2025-10-31 13:30:00,SELL,1.15754,1.15354,40,0.5519455079592145
2025-10-31 18:30:00,2025-11-03 08:45:00,BUY,1.15227,1.15127,-10,0.4258879983433891
2025-10-31 20:00:00,2025-11-03 06:30:00,SELL,1.15285,1.1538499999999998,-10,0.43971067677123554
2025-10-31 20:30:00,2025-11-03 06:45:00,SELL,1.15308,1.15408,-10,0.42990973509467745
2025-11-02 22:15:00,2025-11-03 06:30:00,SELL,1.15283,1.15383,-10,0.4546792052848302
2025-11-03 01:00:00,2025-11-03 08:30:00,BUY,1.15242,1.15142,-10,0.47696701127662844
2025-11-03 03:15:00,2025-11-03 06:30:00,SELL,1.15304,1.15404,-10,0.5386125425423848
2025-11-03 03:30:00,2025-11-03 06:45:00,SELL,1.15308,1.15408,-10,0.5072886064959978
2025-11-03 06:30:00,2025-11-04 01:15:00,SELL,1.15396,1.14996,40,0.642600970715383
2025-11-03 07:30:00,2025-11-04 01:15:00,SELL,1.15405,1.15005,40,0.5988798582931678
2025-11-03 07:45:00,2025-11-04 01:15:00,SELL,1.15394,1.14994,40,0.5169096505162376
2025-11-03 08:15:00,2025-11-03 17:15:00,SELL,1.1525,1.1535,-10,0.466363190753621
2025-11-03 09:00:00,2025-11-03 15:00:00,SELL,1.15121,1.15221,-10,0.4025454959822026
2025-11-03 10:00:00,2025-11-04 01:00:00,BUY,1.1513,1.1503,-10,0.584381356590791
2025-11-03 12:30:00,2025-11-03 16:15:00,SELL,1.15203,1.15303,-10,0.40921821496689403
2025-11-03 13:45:00,2025-11-03 15:00:00,SELL,1.15106,1.1520599999999999,-10,0.42290149993109866
2025-11-03 14:00:00,2025-11-03 15:00:00,SELL,1.15083,1.15183,-10,0.4296096212425064
2025-11-03 14:15:00,2025-11-03 15:00:00,SELL,1.15077,1.15177,-10,0.40512598304868985
2025-11-03 14:30:00,2025-11-04 11:30:00,BUY,1.15073,1.1497300000000001,-10,0.5071457571756399
2025-11-03 15:45:00,2025-11-03 17:15:00,SELL,1.15247,1.15347,-10,0.4012632561692299
2025-11-03 16:15:00,2025-11-04 12:00:00,SELL,1.15281,1.1488099999999999,40,0.40693223400435047
2025-11-03 16:30:00,2025-11-04 11:45:00,SELL,1.15307,1.14907,40,0.40727052007512904
2025-11-03 16:45:00,2025-11-04 11:45:00,SELL,1.15303,1.14903,40,0.40552867822934907
2025-11-03 17:15:00,2025-11-04 11:30:00,SELL,1.15357,1.14957,40,0.5762473540456906
2025-11-03 17:30:00,2025-11-04 11:45:00,SELL,1.15304,1.14904,40,0.4006954676482668
2025-11-04 01:15:00,2025-11-04 11:45:00,BUY,1.15003,1.1490300000000002,-10,0.6024812885233964
2025-11-04 05:15:00,2025-11-04 09:45:00,BUY,1.15109,1.15009,-10,0.4128817429265095
2025-11-04 06:30:00,2025-11-04 12:15:00,SELL,1.15256,1.14856,40,0.4032067511686159
2025-11-04 07:00:00,2025-11-04 12:00:00,SELL,1.15281,1.1488099999999999,40,0.4132709998829116
2025-11-04 07:15:00,2025-11-04 11:45:00,SELL,1.15292,1.14892,40,0.41760516829880556
2025-11-04 07:30:00,2025-11-04 11:45:00,SELL,1.15305,1.14905,40,0.7190238286449369
2025-11-04 14:30:00,2025-11-05 14:00:00,BUY,1.14795,1.1469500000000001,-10,0.6586874480217599
2025-11-05 03:45:00,2025-11-05 10:00:00,BUY,1.14885,1.14785,-10,0.5636196811897473
2025-11-05 10:15:00,2025-11-05 14:00:00,BUY,1.14796,1.1469600000000002,-10,0.5664757976420343
2025-11-05 14:00:00,2025-11-06 08:45:00,BUY,1.14769,1.15169,40,0.48002836595088516
2025-11-05 16:00:00,2025-11-06 08:00:00,BUY,1.14753,1.15153,40,0.75389133055873
2025-11-06 00:00:00,2025-11-06 13:00:00,BUY,1.14962,1.15362,40,0.43734223313861276
2025-11-06 00:15:00,2025-11-06 13:30:00,BUY,1.14983,1.15383,40,0.45258656685455523
2025-11-06 00:30:00,2025-11-06 13:30:00,BUY,1.14976,1.15376,40,0.41699675965294697
2025-11-06 00:45:00,2025-11-06 13:30:00,BUY,1.15002,1.15402,40,0.4426428365234213
2025-11-06 01:00:00,2025-11-06 13:45:00,BUY,1.15038,1.15438,40,0.42648852035843837
2025-11-06 01:15:00,2025-11-06 18:30:00,BUY,1.15068,1.15468,40,0.4313266665700111
2025-11-06 01:30:00,2025-11-06 18:30:00,BUY,1.1507,1.1547,40,0.4757098775879389
2025-11-06 01:45:00,2025-11-06 18:30:00,BUY,1.1507,1.1547,40,0.4562511640088783
2025-11-06 02:00:00,2025-11-06 18:30:00,BUY,1.1507,1.1547,40,0.44667536685921105
2025-11-06 02:15:00,2025-11-06 18:00:00,BUY,1.15065,1.15465,40,0.4528083874259354
2025-11-06 02:30:00,2025-11-06 13:45:00,BUY,1.15038,1.15438,40,0.4261587017767537
2025-11-06 02:45:00,2025-11-06 18:00:00,BUY,1.15048,1.15448,40,0.41795117689970707
2025-11-06 03:00:00,2025-11-06 18:00:00,BUY,1.15058,1.15458,40,0.40452246594640795
2025-11-06 03:30:00,2025-11-06 18:00:00,BUY,1.15064,1.15464,40,0.40758646686336597
2025-11-06 03:45:00,2025-11-06 18:00:00,BUY,1.15065,1.15465,40,0.46106817452781534
2025-11-06 04:00:00,2025-11-06 18:30:00,BUY,1.15073,1.15473,40,0.4607968801183159
2025-11-06 04:15:00,2025-11-06 18:00:00,BUY,1.15047,1.15447,40,0.4815062111598114
2025-11-06 04:30:00,2025-11-06 18:00:00,BUY,1.15047,1.15447,40,0.484757620442873
2025-11-06 04:45:00,2025-11-06 18:30:00,BUY,1.15066,1.15466,40,0.47060917758958615
2025-11-06 05:00:00,2025-11-06 18:00:00,BUY,1.15051,1.15451,40,0.4613377542435692
2025-11-06 05:15:00,2025-11-06 18:30:00,BUY,1.15075,1.15475,40,0.43917879455286735
2025-11-06 05:30:00,2025-11-06 18:30:00,BUY,1.15068,1.15468,40,0.40506208271984534
2025-11-06 05:45:00,2025-11-06 18:45:00,BUY,1.15097,1.15497,40,0.41586275804735157
2025-11-06 06:30:00,2025-11-06 18:30:00,BUY,1.15069,1.15469,40,0.4591523607117272
2025-11-06 06:45:00,2025-11-06 18:30:00,BUY,1.15066,1.15466,40,0.5437797602807346
2025-11-06 07:00:00,2025-11-06 19:15:00,BUY,1.15102,1.15502,40,0.4575244031442708
2025-11-06 07:15:00,2025-11-06 19:30:00,BUY,1.15118,1.15518,40,0.43414370906801714
2025-11-06 07:30:00,2025-11-06 18:45:00,BUY,1.15097,1.15497,40,0.4384957518433676
2025-11-06 07:45:00,2025-11-06 18:30:00,BUY,1.15079,1.15479,40,0.43846905913355644
2025-11-06 08:00:00,2025-11-06 19:00:00,BUY,1.15098,1.15498,40,0.4612028023493802
2025-11-06 08:15:00,2025-11-06 19:30:00,BUY,1.1512,1.1552,40,0.4587775963977254
2025-11-06 10:45:00,2025-11-06 19:15:00,BUY,1.15103,1.15503,40,0.6582977350930562
2025-11-06 15:00:00,2025-11-07 12:00:00,BUY,1.15237,1.15637,40,0.6766080447886246
2025-11-06 18:00:00,2025-11-07 11:15:00,SELL,1.15453,1.15553,-10,0.41784832622341933
2025-11-06 19:00:00,2025-11-07 11:30:00,SELL,1.1549,1.1559,-10,0.43569385361791296
2025-11-06 19:15:00,2025-11-07 11:45:00,SELL,1.15505,1.1560499999999998,-10,0.4309929093937141
2025-11-06 20:00:00,2025-11-07 11:15:00,SELL,1.1548,1.1558,-10,0.4011282875179004
2025-11-06 22:15:00,2025-11-07 04:15:00,BUY,1.15445,1.15345,-10,0.46520797620264104
2025-11-06 23:15:00,2025-11-07 11:30:00,SELL,1.15497,1.15597,-10,0.4922582133390835
2025-11-07 01:45:00,2025-11-07 14:45:00,BUY,1.15377,1.15777,40,0.4143696589414347
2025-11-07 03:15:00,2025-11-07 14:45:00,BUY,1.15357,1.15757,40,0.4291323125706685
2025-11-07 03:30:00,2025-11-07 14:45:00,BUY,1.15363,1.15763,40,0.4586088491936858
2025-11-07 03:45:00,2025-11-07 14:45:00,BUY,1.15376,1.15776,40,0.451781776267121
2025-11-07 04:00:00,2025-11-07 14:45:00,BUY,1.15354,1.15754,40,0.42423191705870084
2025-11-07 04:15:00,2025-11-07 14:15:00,BUY,1.15341,1.15741,40,0.4861933220803818
2025-11-07 04:30:00,2025-11-07 14:45:00,BUY,1.15344,1.15744,40,0.4823962733788161
2025-11-07 04:45:00,2025-11-07 14:45:00,BUY,1.15363,1.15763,40,0.47907264862658894
2025-11-07 05:00:00,2025-11-07 14:45:00,BUY,1.15365,1.15765,40,0.46250482324084785
2025-11-07 05:15:00,2025-11-07 14:45:00,BUY,1.15367,1.15767,40,0.44931477705459666
2025-11-07 05:30:00,2025-11-07 14:45:00,BUY,1.15364,1.15764,40,0.40531098705881585
2025-11-07 05:45:00,2025-11-07 14:15:00,BUY,1.15338,1.15738,40,0.43940036964170237
2025-11-07 06:00:00,2025-11-07 14:15:00,BUY,1.15343,1.15743,40,0.4923035171225179
2025-11-07 06:15:00,2025-11-07 14:00:00,BUY,1.15305,1.15705,40,0.5895895159036862
2025-11-07 06:30:00,2025-11-07 14:00:00,BUY,1.15319,1.15719,40,0.5018821062502017
2025-11-07 06:45:00,2025-11-07 14:00:00,BUY,1.15305,1.15705,40,0.49468849565635203
2025-11-07 07:00:00,2025-11-07 14:00:00,BUY,1.1532,1.1572,40,0.47034908738858083
2025-11-07 07:15:00,2025-11-07 14:00:00,BUY,1.15337,1.15737,40,0.4633765191050847
2025-11-07 07:30:00,2025-11-07 14:00:00,BUY,1.15311,1.15711,40,0.44399208840322113
2025-11-07 07:45:00,2025-11-07 14:00:00,BUY,1.15323,1.15723,40,0.44043512674335905
2025-11-07 09:30:00,2025-11-07 14:45:00,BUY,1.15359,1.15759,40,0.4094842387867278
2025-11-07 12:45:00,2025-11-09 23:00:00,BUY,1.15553,1.15453,-10,0.5212776412904633
2025-11-07 15:15:00,2025-11-09 23:30:00,SELL,1.15833,1.15433,40,0.7507907996460578
2025-11-07 16:15:00,2025-11-10 17:00:00,SELL,1.15813,1.15413,40,0.4298523836894208
2025-11-10 03:30:00,2025-11-10 17:00:00,BUY,1.15518,1.1541800000000002,-10,0.6175697067901056
2025-11-10 06:45:00,2025-11-10 16:45:00,BUY,1.15538,1.1543800000000002,-10,0.5768338397556775
2025-11-10 11:00:00,2025-11-10 15:45:00,BUY,1.15559,1.15459,-10,0.5637392131243352
2025-11-10 13:15:00,2025-11-11 13:15:00,SELL,1.1574,1.1583999999999999,-10,0.5394169084213708
2025-11-10 17:00:00,2025-11-11 13:15:00,BUY,1.15454,1.15854,40,0.7213044638704561
2025-11-10 18:00:00,2025-11-11 10:15:00,SELL,1.15604,1.1570399999999998,-10,0.4129273181084563
