timestamp,open,high,low,close,volume
2025-07-30 12:15:00,198.266,198.39,198.173,198.176,1019
2025-07-30 12:30:00,198.182,198.301,198.077,198.18,1590
2025-07-30 12:45:00,198.179,198.246,198.089,198.103,1289
2025-07-30 13:00:00,198.102,198.166,198.039,198.054,1089
2025-07-30 13:15:00,198.05,198.195,198.036,198.091,904
2025-07-30 13:30:00,198.086,198.159,198.045,198.124,1036
2025-07-30 13:45:00,198.124,198.137,197.854,197.959,980
2025-07-30 14:00:00,197.964,198.03,197.867,197.967,1009
2025-07-30 14:15:00,197.967,198.036,197.85,197.895,860
2025-07-30 14:30:00,197.901,197.927,197.806,197.879,812
2025-07-30 14:45:00,197.88,197.951,197.793,197.925,863
2025-07-30 15:00:00,197.92,197.962,197.807,197.84,894
2025-07-30 15:15:00,197.839,197.922,197.813,197.878,752
2025-07-30 15:30:00,197.873,197.972,197.858,197.891,700
2025-07-30 15:45:00,197.886,197.915,197.849,197.859,611
2025-07-30 16:00:00,197.861,197.909,197.807,197.852,603
2025-07-30 16:15:00,197.849,197.87,197.802,197.858,609
2025-07-30 16:30:00,197.858,197.877,197.796,197.802,467
2025-07-30 16:45:00,197.8,197.868,197.775,197.805,540
2025-07-30 17:00:00,197.803,197.818,197.734,197.784,584
2025-07-30 17:15:00,197.784,197.857,197.782,197.803,500
2025-07-30 17:30:00,197.798,197.871,197.763,197.831,608
2025-07-30 17:45:00,197.827,197.884,197.769,197.772,679
2025-07-30 18:00:00,197.766,197.865,197.683,197.745,1381
2025-07-30 18:15:00,197.744,197.82,197.742,197.752,809
2025-07-30 18:30:00,197.76,197.88,197.708,197.85,2210
2025-07-30 18:45:00,197.848,197.894,197.665,197.714,1599
2025-07-30 19:00:00,197.716,197.785,197.609,197.703,1262
2025-07-30 19:15:00,197.704,197.738,197.626,197.682,982
2025-07-30 19:30:00,197.686,197.811,197.686,197.8,871
2025-07-30 19:45:00,197.8,197.889,197.797,197.872,735
2025-07-30 20:00:00,197.866,197.978,197.838,197.917,589
2025-07-30 20:15:00,197.917,197.935,197.85,197.922,541
2025-07-30 20:30:00,197.923,197.979,197.92,197.927,446
2025-07-30 20:45:00,197.928,197.931,197.676,197.717,513
2025-07-30 21:00:00,197.714,197.744,197.642,197.663,229
2025-07-30 21:15:00,197.663,197.824,197.647,197.727,261
