equity
0
-10
-20
-30
-40
0
-10
30
70
110
150
190
180
170
160
150
140
130
170
210
200
190
180
170
160
150
140
180
220
210
200
190
180
220
210
200
190
180
220
260
250
290
280
320
310
350
390
380
420
410
450
490
480
470
460
500
490
530
520
510
500
490
480
470
460
450
490
480
470
510
550
540
530
520
510
500
490
480
520
510
500
540
530
520
510
500
490
530
520
510
500
490
480
520
510
550
590
580
620
610
600
590
580
570
560
550
540
530
520
510
500
490
480
470
510
550
540
580
570
