entry_time,exit_time,signal,entry_price,exit_price,pnl_pips,confidence
2025-11-19 17:00:00,2025-11-19 17:30:00,BUY,0.55996,0.55896,-10,0.5874141
2025-11-19 17:15:00,2025-11-20 14:30:00,BUY,0.55961,0.56361,40,0.80173224
2025-11-19 17:30:00,2025-11-20 14:30:00,BUY,0.55931,0.56331,40,0.87046766
2025-11-19 17:45:00,2025-11-20 14:30:00,BUY,0.55939,0.5633900000000001,40,0.8024635
2025-11-19 18:00:00,2025-11-20 14:30:00,BUY,0.55974,0.56374,40,0.6968524
2025-11-19 18:15:00,2025-11-20 14:30:00,BUY,0.55945,0.56345,40,0.783446
2025-11-19 18:45:00,2025-11-20 14:30:00,BUY,0.55974,0.56374,40,0.7852224
2025-11-19 19:00:00,2025-11-20 14:30:00,BUY,0.55927,0.56327,40,0.8645365
2025-11-19 19:15:00,2025-11-20 13:30:00,BUY,0.5591,0.5631,40,0.8536951
2025-11-19 19:30:00,2025-11-20 13:30:00,BUY,0.55902,0.56302,40,0.8169441
2025-11-19 19:45:00,2025-11-20 14:30:00,BUY,0.55927,0.56327,40,0.8207972
2025-11-19 20:00:00,2025-11-20 14:30:00,BUY,0.55972,0.56372,40,0.7776529
2025-11-19 20:30:00,2025-11-20 17:45:00,BUY,0.55985,0.55885,-10,0.50071126
2025-11-19 20:45:00,2025-11-20 14:30:00,BUY,0.55965,0.56365,40,0.6003872
2025-11-19 21:00:00,2025-11-20 14:30:00,BUY,0.55946,0.56346,40,0.5485114
2025-11-20 14:15:00,2025-11-20 17:30:00,SELL,0.56311,0.55911,40,0.797362
2025-11-20 14:30:00,2025-11-20 17:15:00,SELL,0.56336,0.55936,40,0.8253101
2025-11-20 14:45:00,2025-11-20 17:30:00,SELL,0.56307,0.55907,40,0.8648102
2025-11-20 15:15:00,2025-11-20 22:00:00,SELL,0.56199,0.55799,40,0.41169822
2025-11-25 04:00:00,2025-11-26 01:00:00,BUY,0.5598,0.5638,40,0.7713102
2025-11-25 04:15:00,2025-11-26 01:00:00,BUY,0.55987,0.56387,40,0.65553695
2025-11-25 04:30:00,2025-11-25 11:30:00,BUY,0.5601,0.5591,-10,0.5481682
2025-11-25 04:45:00,2025-11-26 01:00:00,BUY,0.55997,0.56397,40,0.7346887
2025-11-25 05:00:00,2025-11-25 11:30:00,BUY,0.56007,0.55907,-10,0.55185074
2025-11-25 05:15:00,2025-11-26 01:00:00,BUY,0.55994,0.56394,40,0.83883184
2025-11-25 05:30:00,2025-11-26 01:00:00,BUY,0.56004,0.56404,40,0.7037151
2025-11-25 05:45:00,2025-11-25 06:45:00,BUY,0.56035,0.55935,-10,0.4195124
2025-11-25 06:00:00,2025-11-25 11:30:00,BUY,0.56006,0.55906,-10,0.4740252
2025-11-25 06:15:00,2025-11-26 01:00:00,BUY,0.55993,0.56393,40,0.8274317
2025-11-25 06:30:00,2025-11-26 01:00:00,BUY,0.5598,0.5638,40,0.8651509
2025-11-25 06:45:00,2025-11-26 01:00:00,BUY,0.5595,0.5635,40,0.8907593
2025-11-25 07:00:00,2025-11-26 01:00:00,BUY,0.55969,0.56369,40,0.8227294
2025-11-25 07:15:00,2025-11-26 01:00:00,BUY,0.55983,0.56383,40,0.9099937
2025-11-25 07:30:00,2025-11-26 01:00:00,BUY,0.55994,0.56394,40,0.91183615
2025-11-25 07:45:00,2025-11-26 01:00:00,BUY,0.55975,0.56375,40,0.91519594
2025-11-25 08:00:00,2025-11-26 01:00:00,BUY,0.55957,0.56357,40,0.9162287
2025-11-25 08:15:00,2025-11-26 01:00:00,BUY,0.55953,0.56353,40,0.89707226
2025-11-25 08:30:00,2025-11-26 01:00:00,BUY,0.55982,0.56382,40,0.81456566
2025-11-25 08:45:00,2025-11-26 01:00:00,BUY,0.55956,0.56356,40,0.8370032
2025-11-25 09:00:00,2025-11-26 01:00:00,BUY,0.56002,0.56402,40,0.5654251
2025-11-25 09:15:00,2025-11-25 11:30:00,BUY,0.5601,0.5591,-10,0.4375282
2025-11-25 10:45:00,2025-11-25 11:15:00,BUY,0.56047,0.55947,-10,0.44289103
2025-11-25 11:00:00,2025-11-26 01:00:00,BUY,0.55992,0.56392,40,0.77631193
2025-11-25 11:15:00,2025-11-26 01:00:00,BUY,0.55942,0.56342,40,0.78417987
2025-11-25 11:30:00,2025-11-26 01:00:00,BUY,0.55931,0.56331,40,0.8993757
2025-11-25 11:45:00,2025-11-26 01:00:00,BUY,0.55939,0.5633900000000001,40,0.8023215
2025-11-25 12:00:00,2025-11-26 01:00:00,BUY,0.55938,0.56338,40,0.86325973
2025-11-25 12:15:00,2025-11-26 01:00:00,BUY,0.55944,0.56344,40,0.84714425
2025-11-25 12:30:00,2025-11-26 01:00:00,BUY,0.55997,0.56397,40,0.75146043
2025-11-25 12:45:00,2025-11-26 01:00:00,BUY,0.5599,0.5639,40,0.7475957
2025-11-25 13:00:00,2025-11-25 14:30:00,BUY,0.56079,0.55979,-10,0.5582952
2025-11-25 13:15:00,2025-11-25 14:30:00,BUY,0.56055,0.55955,-10,0.6392681
2025-11-25 13:30:00,2025-11-26 01:00:00,BUY,0.56009,0.56409,40,0.8450968
2025-11-25 13:45:00,2025-11-25 14:30:00,BUY,0.56063,0.55963,-10,0.58429545
2025-11-25 14:00:00,2025-11-26 01:00:00,BUY,0.56026,0.56426,40,0.897091
2025-11-25 14:15:00,2025-11-26 01:00:00,BUY,0.56,0.5640000000000001,40,0.8923072
2025-11-25 14:30:00,2025-11-26 01:00:00,BUY,0.55967,0.56367,40,0.9010054
2025-11-25 14:45:00,2025-11-26 01:00:00,BUY,0.56054,0.56454,40,0.8093741
2025-11-25 15:00:00,2025-11-26 01:00:00,BUY,0.56048,0.56448,40,0.8463318
2025-11-25 15:15:00,2025-11-26 01:00:00,BUY,0.56046,0.56446,40,0.80977637
2025-11-25 15:30:00,2025-11-26 01:00:00,BUY,0.5606,0.5646,40,0.82805413
2025-11-25 15:45:00,2025-11-26 01:00:00,BUY,0.56073,0.56473,40,0.83635455
2025-11-25 16:00:00,2025-11-26 01:00:00,BUY,0.5608,0.5648,40,0.8530545
2025-11-25 16:15:00,2025-11-26 01:00:00,BUY,0.56098,0.56498,40,0.84244394
2025-11-25 16:30:00,2025-11-26 01:00:00,BUY,0.56074,0.56474,40,0.8494373
2025-11-25 16:45:00,2025-11-26 01:00:00,BUY,0.56073,0.56473,40,0.8565675
2025-11-25 17:00:00,2025-11-26 01:00:00,BUY,0.56147,0.56547,40,0.7956569
2025-11-25 17:15:00,2025-11-26 01:00:00,BUY,0.56198,0.56598,40,0.88643086
2025-11-25 17:30:00,2025-11-26 01:00:00,BUY,0.56237,0.56637,40,0.91567445
2025-11-25 17:45:00,2025-11-26 01:00:00,BUY,0.56221,0.56621,40,0.82862407
2025-11-25 18:00:00,2025-11-26 01:00:00,BUY,0.56227,0.56627,40,0.896404
2025-11-25 18:15:00,2025-11-26 01:00:00,BUY,0.56222,0.5662200000000001,40,0.9040693
2025-11-25 18:30:00,2025-11-26 01:00:00,BUY,0.56227,0.56627,40,0.8938802
2025-11-25 18:45:00,2025-11-26 01:00:00,BUY,0.56217,0.56617,40,0.9001904
