swing_trend,internal_trend,structure_aligned,swing_bos,swing_choch,internal_bos,internal_choch,bos_momentum,choch_count,swing_ob,internal_ob,dist_to_swing_high,dist_to_swing_low,dist_to_internal_high,dist_to_internal_low,in_premium,in_discount,in_equilibrium,return_1,return_3,return_5,return_10,return_20,return_50,volatility_10,volatility_20,volatility_50,atr,atr_ratio,price_position_20,price_position_50,price_position_100,body_ratio,upper_wick_ratio,lower_wick_ratio,is_bullish,hour,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,has_fvg,fvg_direction,has_eqh,has_eql,open,high,low,close,timestamp,rsi_14,rsi_overbought,rsi_oversold,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_position,bb_width,stoch_k,stoch_d,sma_50,sma_200,above_sma200,sma_cross,label,entry_price,exit_price,bars_held
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441860447807706,0.0,0.255813952893648,1,22,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,102.95,102.982,102.939,102.982,2025-12-07 22:00:00,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102.982,102.982,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,-0.0003398652191645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962959305504,0.1975308639535833,0.5061728388812985,0,22,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,102.971,102.987,102.906,102.947,2025-12-07 22:15:00,0.0,0,1,-0.0027920227920361,-0.0005584045584072,-0.0022336182336289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,102.947,103.34700000000001,65
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.856868097169453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2068965513674028,0.7931034469084592,0.0,1,22,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,102.94,102.998,102.94,102.952,2025-12-07 22:30:00,13.33333333332395,0,1,-0.0045488267140711,-0.00135648898954,-0.0031923377245311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,102.952,103.352,64
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,-0.0002234050819799,-0.0005146530461633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555552726338,0.138888888760288,0.5555555550411523,0,22,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,0,102.962,102.977,102.869,102.929,2025-12-07 22:45:00,8.029647930815727,0,1,-0.0077081593969836,-0.0026268230710287,-0.0050813363259549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,102.929,103.32900000000001,62
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0006897958787124,0.0005148280183007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886178855377232,0.2113821136492687,0.0,1,23,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,0,0,0,0,102.903,103.026,102.903,103.0,2025-12-07 23:00:00,60.39812598457532,0,0,-0.0044317601098526,-0.0029878104787935,-0.0014439496310591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.0,103.0,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0003106796116505,0.0007770611547128,0.0004855217416634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938775496040711,0.0204081632237515,0.285714285131361,1,23,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,1,1,0,0,102.998,103.033,102.984,103.032,2025-12-07 23:15:00,68.97316171892325,0,0,0.0007384303300312,-0.0022425623170285,0.0029809926470598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.032,103.032,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0005435204596628,0.0015447541509194,0.0013696368034035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913580238377711,0.0987654319769497,0.2098765429507112,1,23,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,0,0,0,0,103.032,103.096,103.015,103.088,2025-12-07 23:30:00,77.96511028346768,1,0,0.00924797064242,5.554427486114083e-05,0.0091924263675588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.088,103.088,0
0,0,0,0,0,0,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0,0,0,-0.0006402297066582,0.0002135922330097,0.0006799285103737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142847787424,0.1904761902494895,0.0238095237812919,0,23,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,0,0,0,0,103.088,103.104,103.02,103.022,2025-12-07 23:45:00,56.99877925805675,0,0,0.0105446421618893,0.0021533638522667,0.0083912783096225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.022,103.022,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,-9.705722493968948e-05,0.0009035354467643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714285710406626,0.0285714285307456,0.6999999990000204,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,103.041,103.043,102.973,103.022,2025-12-08 00:00:00,56.99877925805675,0,0,0.0114403860342662,0.0040107682886666,0.0074296177455995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.022,103.022,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0001358933043427,-0.0005044234052459,0.0003495145631067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333328610322,0.2666666662223012,0.44999999925,1,0,0,0.0,1.0,0.0,1.0,0,0,0,0,103.019,103.052,102.992,103.036,2025-12-08 00:15:00,59.66708285634451,0,0,0.0131286140136666,0.0058343374336666,0.0072942765799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.036,103.036,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,-0.0006987848907178,-0.0005629865465629,-0.0006599891295907,-0.0001747878269988,0.0,0.0,0.0004653757848013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113924039095752,0.0,0.088607594824602,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,103.036,103.036,102.957,102.964,2025-12-08 00:30:00,44.406002468940045,0,0,0.0085580961740134,0.006379089181736,0.0021790069922774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,102.964,102.964,0
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,-9.7121323958671e-06,-0.0005726932111589,-0.0012125562626106,0.0001554197791096,0.0,0.0,0.0004514587890204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208333332900292,0.7916666650172625,0.187499999609375,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,102.964,103.002,102.954,102.963,2025-12-08 00:45:00,44.23676907616174,0,0,0.0047999058873955,0.0060632525228679,-0.0012633466354723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,102.963,103.363,55
0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,-0.0001456834008333,-0.0008540704219884,-0.0007182931800975,-3.885305773565495e-05,0.0,0.0,0.0004540558002936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394366193812246,0.6619718300535383,0.0985915491567864,0,1,0,0.2588190451025207,0.9659258262890684,0.0,1.0,0,0,0,0,102.965,103.012,102.941,102.948,2025-12-08 01:00:00,41.67135236276688,0,0,0.0006041738293731,0.0049714367841689,-0.0043672629547958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,102.948,103.348,54
